"date" "prec"
2009-08-01 68.6264705882353
2009-09-01 57.2205882352941
2009-10-01 101.864705882353
2009-11-01 93.2852941176471
2009-12-01 230.864705882353
2010-01-01 250.485294117647
2010-02-01 231.426470588235
2010-03-01 214.882352941176
2010-04-01 343.026470588235
2010-05-01 235.391176470588
2010-06-01 145.676470588235
2010-07-01 117.751515151515
2010-08-01 80.5882352941177
2010-09-01 61.1911764705882
2010-10-01 110.532352941176
2010-11-01 157.841176470588
2010-12-01 220.420588235294
2011-01-01 331.870588235294
2011-02-01 304.788235294118
2011-03-01 340.932352941176
2011-04-01 361.170588235294
2011-05-01 290.794117647059
2011-06-01 130.352941176471
2011-07-01 105.263636363636
2011-08-01 73.4294117647059
2011-09-01 73.7676470588235
2011-10-01 148.317647058824
2011-11-01 166.526470588235
2011-12-01 149.441176470588
2012-01-01 309.311764705882
2012-02-01 338.376470588235
2012-03-01 372.573529411765
2012-04-01 267.826470588235
2012-05-01 199.676470588235
2012-06-01 129.376470588235
2012-07-01 133.611764705882
2012-08-01 79.0529411764706
2012-09-01 81.2147058823529
2012-10-01 97.2647058823529
2012-11-01 114.485294117647
2012-12-01 236.338235294118
2013-01-01 287.561764705882
2013-02-01 309.405882352941
2013-03-01 353.891176470588
2013-04-01 299.914705882353
2013-05-01 270.185294117647
2013-06-01 145.573529411765
2013-07-01 144.138235294118
2013-08-01 116.502941176471
2013-09-01 98.5323529411765
2013-10-01 102.455882352941
2013-11-01 190.805882352941
2013-12-01 158.657575757576
2014-01-01 260.2
2014-02-01 329.882352941176
2014-03-01 355.741176470588
2014-04-01 315.838235294118
2014-05-01 248.447058823529
2014-06-01 158.461764705882
2014-07-01 104.020588235294
2014-08-01 93.3941176470588
2014-09-01 68.8264705882353
2014-10-01 122.594117647059
2014-11-01 156.823529411765
2014-12-01 162.629411764706
2015-01-01 256.25
2015-02-01 227.758823529412
2015-03-01 344.415151515152
2015-04-01 303.325
2015-05-01 232.324242424242
2015-06-01 141.593939393939
2015-07-01 104.524242424242
2015-08-01 55.915625
2015-09-01 36.2666666666667
2015-10-01 58.7181818181818
2015-11-01 85.4352941176471
2015-12-01 128.202941176471
2016-01-01 179.717647058824
2016-02-01 226.3375
2016-03-01 348.935483870968
2016-04-01 283.816129032258
2016-05-01 198.096774193548
2016-06-01 143.761290322581
2016-07-01 107.516666666667
2016-08-01 55.341935483871
2016-09-01 84.9096774193548
2016-10-01 139.232142857143
2016-11-01 117.15
2016-12-01 274.72
2017-01-01 344.025806451613
2017-02-01 351.116129032258
2017-03-01 355.561290322581
2017-04-01 281.277419354839
2017-05-01 196.396774193548
2017-06-01 129.54
2017-07-01 89.4870967741935
2017-08-01 58.0193548387097
2017-09-01 77.4633333333333
2017-10-01 102.51935483871
2017-11-01 132.574193548387
2017-12-01 232.690322580645
2018-01-01 239.478571428571
2018-02-01 341.156666666667
2018-03-01 269.706451612903
2018-04-01 366.690322580645
2018-05-01 247.383870967742
2018-06-01 123.077419354839
2018-07-01 126.103225806452
2018-08-01 88.0233333333333
2018-09-01 89.0129032258065
2018-10-01 89.86
2018-11-01 179.922580645161
2018-12-01 273.696774193548
2019-01-01 301.129032258065
2019-02-01 324.425806451613
2019-03-01 318.148387096774
2019-04-01 344.663333333333
2019-05-01 282.903225806452
2019-06-01 179.546666666667
2019-07-01 119.179310344828
